#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      265.8   184.7   148.8   183.0   192.2   245.5   275.0   294.8   310.2   327.9   348.9   379.3   461.8  2082.3  9114.1  30013.5    30000  1683792868672  1683792878804
read      264.7   185.7   148.8   184.7   192.9   242.8   271.1   290.4   306.0   325.1   348.5   381.9   467.4  2255.0  7952.1  29963.9    30005  1683792880314  1683792890438
read      270.3   221.5   148.8   183.6   192.6   247.7   279.6   300.2   315.9   334.4   356.8   388.8   470.9  2742.3  9487.2  30054.1    30010  1683792891948  1683792902058
read      268.3   191.6   137.8   181.9   191.2   245.9   277.7   298.7   315.1   334.0   356.9   389.8   483.1  2471.1  8057.1  29993.4    30015  1683792903568  1683792913676
read      273.0   234.7   148.8   183.9   192.9   250.1   283.4   304.4   320.0   338.8   361.0   391.7   475.6  3012.0 11000.3  29977.9    30020  1683792915187  1683792925295
read      260.2   219.3   137.8   178.9   188.2   238.8   268.1   287.0   301.8   320.2   342.8   373.1   461.8  2033.6 10629.6  30031.4    30025  1683792926808  1683792936916
read      265.6   201.1   148.8   181.1   190.5   243.5   273.8   293.8   309.5   327.9   350.8   383.0   464.6  2486.0  8965.9  30000.9    30030  1683792938427  1683792948535
read      260.3   221.7   148.8   178.4   187.5   236.8   266.3   285.1   299.8   318.7   342.4   373.3   460.3  3468.5  9554.0  29920.4    30035  1683792950044  1683792960159
read      265.5   177.3   148.8   181.7   191.2   247.4   278.3   297.3   312.6   329.7   350.3   380.0   452.7  1619.0  8144.1  29977.4    30040  1683792961672  1683792971792
read      266.9   202.1   137.8   181.8   191.3   246.0   277.2   297.0   312.9   331.0   352.9   384.2   463.9  1941.0  8948.7  30098.8    30045  1683792973301  1683792983421
read      264.6   216.4   148.8   180.8   190.2   242.2   272.2   292.2   308.0   326.3   348.8   381.9   467.5  2279.5  9491.4  30024.1    30050  1683792984932  1683792995037
read      263.2   190.1   137.8   180.0   189.4   242.9   273.6   293.5   308.9   326.4   347.5   377.7   458.7  1869.5  8702.5  30023.4    30055  1683792996548  1683793006669
read      265.0   218.9   148.8   180.7   190.1   243.5   273.9   294.2   310.3   328.7   350.0   379.4   454.2  2447.7 10550.4  30199.2    30060  1683793008181  1683793018288
read      261.3   210.4   148.8   180.9   190.1   239.6   268.6   287.7   302.4   320.2   342.3   372.1   451.4  2105.5  8761.3  30067.3    30065  1683793019798  1683793029908
read      261.5   207.7   148.8   180.8   189.7   240.4   270.3   289.9   305.1   322.9   344.9   375.3   449.1  2132.7  9301.3  30093.6    30070  1683793031419  1683793041529
read      273.5   191.0   137.8   182.3   192.4   254.3   289.2   310.1   325.0   342.6   364.4   394.6   471.3  1971.3  8670.1  30059.6    30075  1683793043039  1683793053150
read      263.6   218.5   148.8   182.5   191.4   242.5   271.3   289.7   303.9   320.7   343.0   374.0   457.9  2640.4  8891.5  30136.8    30080  1683793054659  1683793064773
read      262.3   211.2   148.8   181.3   190.3   240.1   268.8   287.5   301.8   319.2   340.8   370.5   448.7  3121.7  9594.0  30015.6    30085  1683793066281  1683793076387
read      264.3   203.9   148.8   182.1   191.3   242.8   272.5   292.2   307.6   325.4   347.3   378.6   456.0  2213.8  9613.7  30101.1    30090  1683793077898  1683793088009
read      265.5   215.2   148.8   181.6   190.7   244.1   274.6   294.7   310.3   328.1   349.1   378.5   450.7  2128.4  8943.9  30033.5    30095  1683793089518  1683793099629
read      262.1   224.1   148.8   180.9   190.0   241.0   270.2   289.0   303.4   320.7   342.2   371.4   447.3  2589.3 11080.0  29954.3    30100  1683793101139  1683793111248
