#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      267.0   213.7   137.8   183.0   192.2   246.9   276.6   295.5   310.6   327.8   348.6   377.4   448.9  2349.3  9380.7  29975.2    30000  1683792393723  1683792403858
read      264.3   207.8   148.8   180.3   190.1   246.1   275.4   293.9   308.0   323.7   343.6   371.8   438.7  2085.5  9920.9  30122.4    30005  1683792405364  1683792415497
read      262.8   191.1   148.8   180.8   189.9   243.3   273.1   292.2   307.0   324.1   344.8   373.2   448.9  2186.7  8857.2  29952.8    30010  1683792417007  1683792427114
read      262.5   203.9   148.8   181.9   190.9   243.2   271.6   289.5   303.0   319.4   340.7   369.5   439.9  2466.2  8570.7  30035.0    30015  1683792428624  1683792438732
read      267.8   202.6   148.8   182.8   191.8   247.1   278.2   297.5   313.3   331.2   353.0   383.4   458.8  2105.2  9480.2  30056.6    30020  1683792440241  1683792450352
read      264.9   196.7   148.8   182.3   191.4   245.4   274.5   293.2   307.6   324.1   344.8   373.3   453.0  2400.0  9210.9  30019.3    30025  1683792451862  1683792461972
read      265.7   197.3   137.8   182.4   191.8   246.5   276.2   294.9   309.5   326.0   346.0   374.9   450.0  2111.6  8545.9  30003.2    30030  1683792463479  1683792473584
read      265.5   186.0   148.8   182.6   191.7   245.3   275.3   295.5   311.3   329.2   350.5   380.7   455.2  2072.9  8718.2  29990.4    30035  1683792475093  1683792485204
read      261.9   176.9   148.8   183.1   191.8   240.9   269.3   288.2   303.2   321.5   344.2   375.2   458.2  2445.1  7836.9  30015.0    30040  1683792486714  1683792496823
read      259.2   210.6   148.8   181.4   190.5   238.8   266.3   283.5   296.5   313.7   334.9   365.1   450.3  2095.3 10236.6  30108.2    30045  1683792498337  1683792508447
read      259.9   200.4   137.8   182.5   191.5   240.9   268.3   285.5   298.5   316.4   338.5   368.4   435.3  1859.6 10016.2  30053.3    30050  1683792509958  1683792520066
read      264.8   199.3   137.8   179.9   189.9   244.9   275.0   294.8   310.1   327.6   349.1   379.8   458.5  2247.1  8529.8  30001.0    30055  1683792521577  1683792531683
read      263.7   203.7   148.8   182.0   190.8   241.9   271.5   291.2   306.5   324.6   346.7   378.1   464.4  2007.1  8752.5  29928.9    30060  1683792533193  1683792543304
read      267.6   244.2   137.8   182.5   192.0   245.5   273.6   292.4   307.3   325.0   346.6   379.0   469.1  2787.4 11579.6  29996.8    30065  1683792544815  1683792554923
read      261.1   197.2   148.8   181.6   190.4   240.6   269.6   288.1   302.0   319.1   340.3   369.1   447.0  2422.9  8124.0  30130.3    30070  1683792556432  1683792566540
read      262.3   198.3   148.8   181.3   190.7   241.9   270.1   288.7   303.3   321.1   343.8   373.2   448.9  2459.0  8568.2  30093.1    30075  1683792568049  1683792578160
read      264.9   211.8   148.8   181.9   190.9   242.8   273.3   293.7   310.0   328.6   350.5   381.5   458.9  2163.0 10895.1  30086.1    30080  1683792579667  1683792589779
read      260.0   204.0   148.8   180.0   189.5   239.4   268.0   286.2   300.1   318.2   340.6   372.0   460.7  1932.1  8595.9  29972.1    30085  1683792591291  1683792601403
read      262.0   193.4   148.8   181.4   190.3   241.2   270.2   288.6   302.6   319.8   341.3   371.6   468.7  2252.0  8557.7  30001.3    30090  1683792602916  1683792613028
read      270.0   197.8   148.8   184.2   193.2   248.9   280.3   300.1   315.9   334.3   356.7   388.4   464.3  2504.6  8270.4  30179.2    30095  1683792614537  1683792624644
