Random waveform, supplied seed
Total number of intervals = 96 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648)
Average QPS expected = 51748
Timestamp start: 1684940946425
Timestamp end: 1684941906831

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      347.3   311.7   148.8   201.2   212.0   295.8   356.4   399.1   434.4   473.7   519.6   584.5   857.2  3601.3 10881.8  51400.2    51355
read      338.6   311.5   160.7   199.5   210.4   294.1   345.0   378.3   405.9   444.8   493.9   566.3   854.2  3438.7 11491.4  67392.1    67361
read      490.3  1265.3   160.7   198.1   211.1   374.8   459.3   509.2   544.4   581.6   627.0   717.4  3422.6 12175.2 32412.6  16290.1    16287
read      336.1   308.5   148.8   200.2   211.1   291.4   337.5   365.9   389.6   422.1   468.8   547.5  1209.2  3311.0 11738.2  81479.5    81508
read      331.4   313.7   160.7   201.0   211.6   293.4   339.5   366.8   388.9   418.3   461.2   532.2   776.2  3532.8 12460.0  87764.0    87619
read      327.2   319.9   148.8   201.9   212.5   291.5   334.6   359.8   378.8   403.6   441.9   506.4   752.9  3653.8 11190.6  98964.1    99068
read      339.4   279.5   148.8   200.1   210.7   290.5   346.8   389.6   423.3   462.0   505.6   567.2   871.9  3396.7  9888.6  51318.6    51267
read      512.8  1284.6   160.7   206.2   220.5   382.7   459.2   497.4   523.2   551.4   590.6   679.0  3922.7 19755.8 38639.6  11841.2    11822
read      342.8   418.7   160.7   204.6   216.3   297.7   342.6   370.0   392.6   422.2   465.2   540.8  1202.3  4179.0 12527.9  97325.6    97494
read      324.2   824.1   160.7   203.8   214.4   288.3   329.0   353.7   372.8   399.2   438.3   504.5   695.9  3144.5 10833.0  97272.7    97350
read      340.2   354.7   160.7   202.7   212.7   290.0   343.1   383.9   418.8   460.3   505.7   565.9   820.5  3807.2 12364.6  55489.8    55460
read      327.8   306.0   160.7   202.4   212.7   290.9   335.7   362.8   384.5   414.1   458.6   527.9   719.7  3407.7 10466.7  86006.3    85984
read      328.9   317.4   160.7   199.1   209.8   290.2   337.5   365.4   387.7   417.3   460.7   532.4   748.5  3289.9 12206.1  81867.5    82043
read      341.1   414.0   148.8   198.6   209.3   293.0   350.2   389.5   420.8   458.8   503.2   569.9   865.0  3520.3 10189.1  52859.2    52873
read      505.8  1396.5   160.7   202.6   215.9   382.0   463.5   508.2   538.6   573.0   616.6   701.7  3558.6 12836.1 38573.6  13950.0    13911
read      352.7   626.2   160.7   199.7   210.5   293.9   355.1   398.9   435.1   475.4   522.5   591.6  1099.9  4096.5 12188.8  49917.7    49984
read      511.5  1307.4   160.7   206.8   222.7   378.7   440.8   470.7   493.0   518.4   553.3   640.1  3905.7 28097.1 36232.4   9276.0     9274
read      501.2   885.5   148.8   199.2   211.3   373.0   480.5   557.3   621.7   688.7   768.6   909.4  2916.5 11412.2 32284.5  27174.8    27187
read      495.1  1009.4   148.8   198.2   211.4   382.3   471.2   533.0   574.8   618.6   672.4   775.3  3094.3 13159.1 32290.5  18693.9    18735
read      350.6   351.0   160.7   203.4   214.4   297.4   344.3   371.9   395.0   426.1   471.6   560.1  1579.0  3860.3 12434.0  86539.8    86505
read      326.2   264.4   148.8   203.4   214.3   292.1   335.5   361.2   380.9   406.3   446.8   512.1   731.8  2989.6  9381.7  92974.9    93039
read      331.7   314.3   160.7   203.7   214.5   291.6   337.3   366.0   390.0   423.0   468.6   537.4   754.6  3119.9 13336.4  76009.2    75999
read      364.4   400.0   160.7   199.8   210.4   300.4   389.8   437.1   467.2   498.2   535.0   593.0   976.5  4297.0 15221.0  32317.6    32324
read      327.5   274.8   160.7   200.6   211.1   288.9   333.9   361.6   383.8   414.3   460.0   532.5   804.3  3141.9  9017.4  84249.5    84255
read      334.7   298.3   148.8   201.1   211.9   293.7   341.1   369.5   392.7   423.7   467.3   542.0   931.4  3352.3 12162.6  81704.5    81759
read      346.4   227.9   148.8   202.6   213.7   304.3   378.7   421.9   450.6   480.6   514.9   569.2   734.1  2291.1  8078.9  37299.7    37291
read      334.7   195.3   148.8   202.3   212.9   296.1   354.1   392.2   422.4   457.5   498.2   558.2   720.5  1763.0  8336.3  53761.4    53818
read      402.4   362.9   148.8   201.3   212.9   348.8   432.4   480.3   519.1   571.4   635.2   735.2  1083.3  4032.0 15278.8  30226.3    30297
read      355.6   318.1   160.7   201.9   212.0   304.5   390.3   434.1   461.3   490.1   523.6   574.5   790.6  3975.1  8689.3  31636.4    31569
read      354.0   713.5   160.7   201.3   211.5   303.4   374.3   418.9   450.4   484.2   524.5   585.9   909.8  2939.2  8110.4  38905.6    38927
read      375.5   588.2   160.7   210.0   224.4   346.3   384.2   402.4   416.8   431.9   454.3   493.0   908.1  7355.9 29390.8  10649.3    10652
read      334.0   281.4   148.8   203.5   215.0   299.6   346.0   373.3   395.2   423.0   461.9   531.2   741.4  3386.2 10012.5  98065.8    98119
read      349.3   297.2   160.7   198.7   209.8   300.6   364.5   406.5   441.0   479.8   527.0   594.2   892.1  3029.7  9271.3  48159.3    48176
read      354.2   314.0   160.7   199.8   210.5   300.3   381.2   428.6   459.8   492.3   529.6   583.9   906.2  3663.5 11759.7  34800.8    34929
read      344.8   292.9   148.8   204.0   215.3   301.4   353.9   386.8   413.8   451.1   501.0   578.4   879.6  3463.4  9357.6  69673.3    69735
read      375.2   439.0   160.7   201.3   211.8   343.4   413.9   446.4   466.8   490.7   519.2   569.1   882.1  6491.3 19052.5  20802.6    20753
read      338.6   275.5   148.8   205.0   216.9   299.9   348.7   377.7   400.7   431.8   475.6   549.7   807.0  3120.7 10402.3  84628.5    84642
read      353.3   314.4   160.7   198.4   209.5   303.7   373.3   417.3   449.4   484.3   527.3   594.0   948.3  3197.6 11904.7  42368.4    42333
read      346.5   284.2   148.8   200.4   211.2   294.7   352.8   393.9   428.8   472.8   527.4   603.2   913.9  3027.7  9453.0  61514.0    61587
read      330.5   321.3   148.8   199.5   210.2   287.0   334.7   365.1   391.1   427.7   480.5   558.1   770.9  3185.3 12428.0  78079.2    77998
read      330.5   290.7   160.7   202.6   213.3   293.0   338.5   365.7   387.4   415.7   457.9   531.0   784.5  3351.3 12105.5  97724.5    97625
read      366.3   363.5   160.7   198.3   209.3   324.3   405.5   440.8   463.5   488.4   517.2   568.4   945.8  4128.0 12636.8  23749.7    23781
read      347.6   308.4   160.7   200.8   211.9   300.2   356.3   391.5   420.7   458.4   507.8   587.7   975.2  3227.9 11568.5  66872.7    66723
read      353.0   337.8   148.8   197.8   209.0   305.2   391.5   432.8   458.9   486.5   518.7   572.9   802.6  2946.4 12106.3  31076.6    31016
read      333.1   211.5   160.7   200.7   211.3   295.6   357.9   398.3   428.6   461.4   497.2   544.4   657.0  1760.7  8489.6  47464.9    47394
read      307.4   158.9   148.8   200.5   210.6   280.1   321.2   346.6   367.9   395.7   437.0   505.9   619.8  1428.8  6659.1  95233.8    95335
read      364.0   335.0   173.5   253.8   272.6   341.4   369.1   384.7   395.4   407.2   425.9   456.5   574.2  5186.6 12190.7   5273.8     5252
read      332.0   183.1   148.8   201.7   211.7   291.6   345.5   385.2   420.7   470.7   528.6   587.1   672.7  1350.7  7818.5  65893.5    65908
read      371.4   239.1   160.7   213.7   227.8   361.3   425.3   453.6   471.0   489.7   508.4   539.6   609.3  3391.2  9964.3  16900.9    16889
read      345.3   194.5   148.8   199.1   210.1   297.2   370.8   431.8   475.8   514.9   550.4   592.5   670.6  1568.4  7576.6  43063.6    42912
read      308.7   149.6   148.8   202.5   211.8   279.6   320.8   347.0   369.3   398.7   444.9   517.8   627.2  1439.2  4745.4 100084.7    99898
read      363.8   263.8   160.7   204.8   217.4   325.8   420.5   465.0   490.1   514.7   540.2   575.8   639.5  2057.0 12245.8  26504.2    26385
read      367.7   197.9   160.7   208.1   221.9   343.0   429.3   466.8   488.3   509.4   533.9   566.4   632.0  1466.4  8620.4  22608.9    22616
read      342.5   192.5   160.7   199.5   210.2   294.5   360.6   414.1   461.2   510.2   553.0   602.5   685.3  1852.1  7836.4  50546.9    50605
read      314.2   169.2   148.8   202.0   211.5   280.1   323.5   352.6   377.0   413.0   469.8   545.2   644.5  1568.4  6452.0  90095.4    90283
read      365.3   231.8   160.7   205.6   218.6   326.8   422.1   467.3   492.4   517.4   543.2   580.1   646.7  1731.5  9780.3  26336.3    26273
read      349.9   206.9   148.8   203.4   214.9   302.8   373.4   427.5   471.3   515.5   556.9   604.1   685.4  1350.6  8647.8  48437.7    48521
