Random waveform, supplied seed
Total number of intervals = 100 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187)
Average QPS expected = 50833
Timestamp start: 1684688471424
Timestamp end: 1684689471838

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      468.9   906.7   148.8   197.9   210.6   354.7   449.1   503.8   548.2   613.3   694.5   873.1  2285.5 10872.3 36162.2  29575.9    29574
read      340.3   308.8   148.8   193.6   204.8   292.8   356.2   395.5   426.3   463.4   505.2   559.2   892.0  3555.2  9924.3  51491.7    51355
read      331.5   364.1   148.8   193.6   204.7   284.6   343.2   379.0   406.4   442.3   488.6   546.6   709.8  3957.5 11456.9  67267.7    67361
read      496.0  1078.8   148.8   206.1   222.0   381.0   459.0   505.2   536.3   571.0   613.7   690.7  3759.3 12775.9 35959.8  16253.5    16287
read      326.6   364.2   148.8   193.8   204.8   280.6   332.1   363.9   388.9   420.5   463.6   529.5   863.5  3766.7 12865.9  81494.9    81508
read      315.1   358.8   148.8   192.3   202.9   273.7   321.8   351.4   374.0   403.2   444.0   505.1   639.1  3990.5 12736.5  87432.3    87619
read      308.4   320.4   148.8   191.6   201.9   271.0   316.8   344.3   366.0   392.6   428.6   486.7   630.4  3554.7 11785.0  99109.2    99068
read      338.0   421.2   148.8   193.9   205.1   293.7   358.5   397.9   428.2   464.4   505.2   556.1   726.5  2927.4 11124.6  51187.9    51267
read      484.6  1111.3   148.8   210.4   227.7   374.8   436.9   472.5   497.6   526.2   562.8   636.8  3281.4 13776.0 35484.0  11853.8    11822
read      335.6   617.6   148.8   193.0   203.9   279.6   326.7   352.6   372.5   399.2   435.7   497.7   749.7  9490.2 30273.3  97320.0    97494
read      308.3   280.8   148.8   192.2   202.7   271.5   317.4   344.9   366.7   393.5   430.0   488.4   631.9  3523.7  9879.4  97184.6    97350
read      340.4   360.9   148.8   195.8   207.3   291.9   354.9   394.0   424.9   462.0   505.7   560.3   753.7  3571.8 12669.6  55433.3    55460
read      320.8   326.9   148.8   195.2   206.2   279.7   330.5   361.6   385.4   415.2   456.9   519.7   679.4  3643.8 12492.4  86064.1    85984
read      316.2   301.7   148.8   193.2   203.9   275.5   326.2   357.5   381.4   412.0   454.6   516.1   674.0  3197.9 11006.8  82076.1    82043
read      341.5   385.6   148.8   193.9   205.1   292.8   356.6   395.2   425.5   462.0   504.1   556.0   734.0  4368.7 15101.1  52910.1    52873
