#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      274.3   239.7   148.8   189.7   198.2   250.0   280.9   301.9   317.5   336.3   358.9   392.2   488.3  2762.3 12136.4  29961.5    30000  1683876180032  1683876190209
read      290.6   277.6   148.8   190.4   199.8   256.6   291.6   314.0   330.9   350.7   375.8   425.8   744.5  3893.1 10710.5  30095.9    30005  1683876191719  1683876201845
read      275.0   224.4   160.7   190.9   199.6   251.7   282.3   301.7   316.5   334.4   356.1   387.9   490.7  3219.6 10442.0  29925.4    30010  1683876203353  1683876213462
read      273.0   229.6   148.8   189.8   197.8   249.4   279.6   299.5   315.2   333.8   356.4   388.5   473.3  3026.9  8800.3  29985.8    30015  1683876214970  1683876225081
read      275.1   233.2   148.8   191.0   200.1   252.9   283.6   302.8   317.3   335.0   356.6   388.1   466.6  2917.0  9027.3  29988.8    30020  1683876226593  1683876236723
read      279.1   221.4   148.8   189.1   198.3   256.4   290.3   311.2   326.5   344.7   367.8   400.2   502.6  2419.3  9345.8  30049.9    30025  1683876238237  1683876248351
read      277.9   239.7   148.8   191.7   200.8   253.8   286.8   307.4   321.9   340.6   363.6   396.6   484.7  2812.2 11306.3  29947.4    30030  1683876249860  1683876259976
read      272.0   229.1   148.8   190.5   198.6   249.3   280.2   300.4   315.8   333.9   355.8   387.1   470.4  2535.8 12189.5  30073.7    30035  1683876261485  1683876271595
read      271.5   229.0   160.7   190.9   198.8   247.8   277.4   297.7   313.7   331.9   353.8   385.3   470.4  2673.0  9821.1  29980.3    30040  1683876273106  1683876283217
read      271.3   224.3   148.8   188.6   196.5   248.6   279.5   299.9   316.1   335.1   358.0   390.9   472.3  1991.4 12048.9  30060.7    30045  1683876284730  1683876294844
read      280.7   242.6   148.8   191.3   200.7   254.8   287.9   308.8   323.9   342.8   366.9   402.1   535.8  2955.9 12186.5  30098.5    30050  1683876296353  1683876306465
read      278.6   252.3   148.8   191.7   201.0   253.5   286.1   306.8   321.8   340.9   364.1   397.4   496.6  2850.0 10649.1  30137.0    30055  1683876307976  1683876318088
read      278.3   225.9   160.7   191.0   200.0   254.5   287.6   308.2   323.2   342.1   365.8   399.5   498.1  2691.0  8760.9  30074.6    30060  1683876319601  1683876329715
read      271.9   216.7   148.8   190.9   199.2   249.2   279.4   299.4   315.4   333.9   356.2   388.4   471.0  2205.2 10414.2  30034.6    30065  1683876331228  1683876341333
read      273.3   205.8   148.8   191.0   200.4   252.3   282.2   301.1   316.1   334.0   355.9   388.2   470.5  1949.5  8786.1  30109.2    30070  1683876342844  1683876352957
read      277.0   230.7   148.8   191.7   201.4   253.3   284.7   304.7   319.3   338.0   360.5   393.3   488.7  3150.0  9997.5  30009.4    30075  1683876354466  1683876364573
read      277.7   244.7   148.8   191.0   200.1   253.1   285.1   306.0   321.1   340.2   363.3   396.5   494.8  2941.9 10379.7  30073.5    30080  1683876366083  1683876376195
read      273.1   252.9   148.8   189.8   197.7   250.1   280.5   299.6   314.3   331.7   352.9   383.7   472.4  3180.3 12647.1  30089.7    30085  1683876377710  1683876387819
read      274.9   224.7   148.8   191.4   200.4   252.5   283.8   303.6   318.3   336.3   358.2   390.5   483.1  2453.8 10802.2  29991.4    30090  1683876389332  1683876399442
