#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      271.3   246.8   148.8   189.2   197.0   248.0   278.5   298.3   313.9   332.0   354.0   386.0   470.7  2423.9 10287.5  29915.8    30000  1683876448091  1683876458290
read      269.0   216.0   148.8   188.7   196.3   247.0   276.1   296.1   311.7   329.5   351.1   383.1   468.6  2240.9  9603.5  29986.2    30005  1683876459797  1683876469920
read      276.3   206.0   160.7   192.4   201.8   254.9   287.2   307.2   321.3   339.3   360.7   391.6   473.8  2085.5  8762.3  29902.7    30010  1683876471431  1683876481543
read      270.0   201.8   160.7   191.0   199.2   248.7   277.8   297.1   312.4   329.8   350.7   382.7   466.3  1982.2  8790.7  29996.5    30015  1683876483056  1683876493166
read      272.7   261.2   148.8   189.0   196.7   249.2   279.8   299.3   314.3   331.8   352.9   384.4   477.5  3300.7 12525.1  30084.2    30020  1683876494678  1683876504786
read      271.3   230.0   148.8   188.5   196.4   249.8   280.5   299.9   314.9   332.6   354.5   386.9   471.6  1848.2 12033.3  29991.7    30025  1683876506294  1683876516400
read      272.3   214.5   148.8   188.7   196.5   249.7   281.3   301.1   316.4   334.8   357.3   390.0   480.9  2769.3  9491.9  30016.4    30030  1683876517909  1683876528032
read      279.2   256.7   148.8   191.5   200.8   255.7   287.3   306.8   320.9   339.4   362.0   395.1   501.5  3105.7 12917.7  29998.2    30035  1683876529546  1683876539657
read      274.7   238.5   148.8   190.9   200.1   251.4   281.8   301.6   316.9   335.4   357.9   390.9   479.4  2703.4 11812.7  29991.3    30040  1683876541171  1683876551275
read      276.4   241.4   160.7   191.0   200.5   254.5   284.8   303.4   317.1   334.3   355.4   387.0   486.6  2645.1 12109.5  29956.9    30045  1683876552787  1683876562893
read      270.7   240.6   148.8   188.2   196.0   248.6   278.8   297.6   312.7   330.0   350.9   381.4   465.8  2671.8 12021.3  30025.3    30050  1683876564402  1683876574508
read      276.1   243.1   160.7   191.7   201.0   252.6   282.2   300.9   315.8   333.8   355.9   388.3   478.5  3457.8  9467.5  30184.6    30055  1683876576016  1683876586128
read      273.2   230.0   148.8   190.7   199.3   250.6   280.2   299.7   315.1   333.2   355.2   387.5   471.0  2746.9 10455.2  30041.5    30060  1683876587641  1683876597743
read      286.9   267.1   148.8   192.2   202.3   257.5   292.2   314.6   331.6   351.2   375.3   415.2   562.6  3790.8 12135.8  29968.8    30065  1683876599255  1683876609368
read      281.1   230.1   148.8   194.0   204.2   258.8   290.5   310.7   325.6   343.7   366.6   398.8   488.0  2634.9 11475.1  30092.6    30070  1683876610876  1683876620988
read      273.7   236.8   148.8   191.8   200.3   249.9   279.5   299.2   314.7   333.0   355.3   388.4   478.3  2711.1 12129.0  30092.1    30075  1683876622495  1683876632614
read      281.0   268.4   148.8   192.3   202.0   257.2   289.6   309.5   323.8   341.7   363.9   395.9   491.8  2995.2 13960.8  29968.6    30080  1683876634126  1683876644237
read      273.2   247.4   148.8   190.3   198.8   249.8   280.0   299.9   315.3   333.7   355.8   387.9   482.5  2376.7 12428.7  30091.1    30085  1683876645748  1683876655859
read      277.7   229.5   148.8   191.9   201.6   253.4   284.5   304.6   319.3   338.1   360.9   394.5   509.7  2786.7 10001.0  29995.4    30090  1683876657375  1683876667492
