#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      265.2   196.7   137.8   180.3   189.6   242.4   274.0   295.2   311.8   330.7   353.2   383.3   451.8  2762.0  8525.9  29933.1    30000  1683794709604  1683794719740
read      267.9   208.7   148.8   184.6   193.3   246.2   275.4   295.7   312.0   331.1   354.6   387.0   460.3  2148.4  9021.4  30056.6    30005  1683794721249  1683794731369
read      268.2   431.2   148.8   181.8   191.3   246.3   277.0   296.6   312.1   329.8   351.4   382.5   458.2  2659.7  9042.2  30059.6    30010  1683794732880  1683794742990
read      267.6   201.3   148.8   181.7   190.9   245.1   278.5   299.8   315.7   334.4   356.5   387.3   459.0  2429.7  8646.4  29977.0    30015  1683794744497  1683794754605
read      262.9   187.4   148.8   182.1   190.9   241.3   271.9   292.6   308.8   327.5   350.1   382.3   457.0  1785.9  8679.1  30048.3    30020  1683794756115  1683794766225
read      258.5   192.9   148.8   181.0   189.9   238.0   266.0   283.9   297.4   315.7   338.3   369.5   449.3  2133.5  8675.6  29994.4    30025  1683794767733  1683794777847
read      268.6   209.1   148.8   181.4   191.0   248.1   282.0   302.7   317.7   335.7   357.2   387.7   462.5  1566.3 10432.2  30033.3    30030  1683794779358  1683794789464
read      262.7   199.9   148.8   181.8   190.7   239.8   270.4   291.4   307.9   327.3   350.6   382.8   458.9  2045.5  9311.7  30034.3    30035  1683794790975  1683794801087
read      263.6   231.4   148.8   180.5   189.4   240.7   272.2   292.8   308.7   327.3   349.9   380.7   448.9  2131.6 11761.8  30004.3    30040  1683794802594  1683794812705
read      266.8   214.5   148.8   180.5   189.8   242.9   275.9   298.3   315.1   334.7   358.4   390.7   466.3  2341.0  9328.2  30056.5    30045  1683794814212  1683794824322
read      268.7   180.9   148.8   181.0   190.7   247.9   282.2   303.6   319.1   337.8   359.7   389.6   457.6  2324.0  8105.7  29999.6    30050  1683794825831  1683794835938
read      259.5   199.9   148.8   180.5   189.3   237.7   267.5   286.7   301.6   319.6   342.2   372.4   441.4  2211.7  8789.2  30043.6    30055  1683794837444  1683794847559
read      266.4   211.4   148.8   182.6   191.6   244.1   275.1   296.0   312.7   332.0   355.2   387.0   457.0  2241.6  8786.0  30071.7    30060  1683794849068  1683794859175
read      265.3   207.7   148.8   181.8   191.0   242.8   273.6   294.3   310.4   328.9   351.1   382.7   459.1  2286.4  8624.1  29910.3    30065  1683794860684  1683794870795
read      260.0   255.8   148.8   180.5   189.3   235.6   264.1   282.9   297.8   317.2   340.8   372.5   451.7  2761.5 11951.7  30083.4    30070  1683794872304  1683794882410
read      264.0   218.9   148.8   181.4   190.5   240.1   270.3   290.6   306.5   325.1   348.1   380.0   458.7  2982.5 10217.8  30092.5    30075  1683794883921  1683794894028
read      258.4   197.1   148.8   179.5   188.5   235.7   265.2   284.6   299.7   318.7   342.4   373.6   447.8  2061.6  9477.7  30134.9    30080  1683794895538  1683794905653
read      264.5   195.2   137.8   180.2   189.8   243.7   275.9   296.6   312.2   329.8   351.0   380.3   443.5  2186.5  8895.6  30101.5    30085  1683794907165  1683794917280
read      267.4   215.0   148.8   181.6   191.2   245.3   277.5   298.6   315.1   334.1   356.6   387.2   454.8  2183.7  9486.1  30136.7    30090  1683794918789  1683794928903
read      260.1   211.5   148.8   179.8   188.7   236.0   267.4   288.2   304.4   323.1   346.0   375.9   442.8  2216.7  9997.9  30015.2    30095  1683794930413  1683794940525
read      266.5   226.3   148.8   181.3   190.4   244.2   275.8   296.8   313.0   331.4   353.3   383.3   451.3  2416.8 10944.0  30157.4    30100  1683794942036  1683794952148
read      262.3   197.6   148.8   182.2   191.1   241.4   270.8   290.2   305.4   323.5   346.3   375.6   439.5  2271.0  8352.9  30092.4    30105  1683794953655  1683794963766
