#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      264.5   203.0   148.8   181.0   190.1   240.7   271.2   292.1   308.9   329.0   353.9   389.2   479.1  2358.1  8791.5  29991.5    30000  1683794396266  1683794406401
read      265.5   185.9   148.8   181.0   190.5   244.5   274.8   295.1   311.4   330.3   353.6   386.6   465.2  2022.7  8221.5  29987.7    30005  1683794407909  1683794418040
read      269.7   212.6   148.8   182.0   191.7   248.2   281.3   301.8   317.3   336.4   359.5   391.8   467.5  1843.0 11337.1  29914.8    30010  1683794419553  1683794429669
read      266.3   220.1   137.8   180.9   190.2   242.9   274.3   295.2   311.9   331.5   355.5   388.8   464.5  2178.3 11297.4  29964.0    30015  1683794431181  1683794441292
read      265.3   189.3   148.8   182.1   191.3   244.3   273.8   293.7   309.8   329.0   353.1   387.3   463.7  2022.5  8396.2  30025.8    30020  1683794442800  1683794452909
read      267.5   211.9   148.8   182.5   191.5   244.0   274.9   295.9   313.0   333.3   358.1   391.7   468.9  2341.8  8744.6  30036.6    30025  1683794454420  1683794464530
read      270.5   202.2   148.8   183.0   192.3   248.2   281.9   303.4   319.2   338.8   362.4   395.3   471.7  2272.6  8980.1  29920.5    30030  1683794466041  1683794476173
read      266.9   192.9   148.8   179.8   189.1   244.4   278.7   300.3   316.9   336.7   360.6   393.2   468.1  1831.8  8734.9  30019.9    30035  1683794477680  1683794487791
read      263.1   200.0   148.8   180.9   190.0   240.9   271.1   291.2   306.9   325.4   348.1   380.2   459.0  2353.5  8537.0  30002.9    30040  1683794489300  1683794499407
read      270.8   212.9   148.8   182.5   191.9   248.0   281.5   303.4   319.8   339.9   363.8   395.9   469.1  2188.5  9373.0  30028.4    30045  1683794500915  1683794511028
read      270.0   201.2   148.8   183.1   192.4   246.3   278.1   299.8   316.6   336.7   361.3   395.0   477.1  2624.5  8517.9  30111.5    30050  1683794512538  1683794522644
read      276.9   202.2   148.8   184.3   193.8   255.3   291.4   313.0   328.7   346.5   369.4   400.3   485.6  2012.8  8791.9  29982.0    30055  1683794524156  1683794534259
read      272.5   229.6   148.8   182.9   192.0   247.2   281.4   304.1   321.0   342.0   366.3   398.0   474.1  2695.6 10779.2  30018.7    30060  1683794535767  1683794545878
read      269.1   224.0   137.8   181.9   191.3   245.8   278.3   299.8   317.1   337.1   361.0   393.5   467.1  2222.2 10660.0  30060.0    30065  1683794547389  1683794557504
read      267.5   424.5   148.8   183.3   192.0   243.6   274.9   296.5   313.9   334.1   358.4   391.5   467.6  2024.9  9340.3  30089.7    30070  1683794559012  1683794569114
read      264.0   570.1   148.8   181.7   190.7   241.9   271.5   291.3   306.8   325.0   347.3   378.8   460.7  1682.7  8903.3  30035.5    30075  1683794570623  1683794580732
read      273.6   685.1   148.8   182.9   192.4   249.7   283.8   304.7   319.8   338.6   361.3   392.9   471.5  2399.7  8787.7  30059.1    30080  1683794582240  1683794592345
read      267.4   681.4   137.8   180.8   190.0   243.7   275.5   296.3   312.3   330.3   351.8   382.6   455.2  2261.0  8430.5  30051.3    30085  1683794593854  1683794603961
read      266.6   685.4   148.8   181.3   190.3   241.3   272.8   294.1   310.8   330.1   353.5   386.1   463.5  2110.7 10404.6  30076.1    30090  1683794605470  1683794615593
read      257.3   185.5   137.8   179.4   188.7   236.9   265.6   284.1   298.3   316.8   339.6   369.9   438.0  1941.8  9487.4  30026.2    30095  1683794617101  1683794627207
read      268.6   211.1   148.8   182.1   191.4   246.0   278.7   299.8   316.0   335.0   357.9   389.3   461.8  2377.8  8897.1  30176.9    30100  1683794628719  1683794638824
read      262.2   186.0   148.8   180.6   189.8   240.6   270.8   291.1   307.2   326.1   348.5   379.8   457.6  2008.0  8109.1  30096.0    30105  1683794640332  1683794650439
read      269.9   211.4   148.8   181.1   190.8   248.1   282.7   303.8   318.7   337.1   359.1   389.3   462.8  2466.0  8717.7  30117.6    30110  1683794651949  1683794662060
read      263.9   209.3   148.8   180.7   190.0   242.0   272.9   293.1   308.7   326.8   348.7   380.1   458.1  2161.1  9487.3  30080.1    30115  1683794663570  1683794673675
