Random waveform, supplied seed
Total number of intervals = 220 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312)
Average QPS expected = 50394
Timestamp start: 1684767562619
Timestamp end: 1684768663110

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      424.5   505.2   173.5   242.7   264.5   381.9   422.1   444.6   461.6   482.2   508.4   568.3  1600.4  7829.3 18729.6   7411.2     7434
read      348.0   298.3   160.7   209.4   221.4   294.6   350.4   392.8   427.8   469.2   517.7   583.6   881.7  3476.3 10534.0  66982.6    67201
read      325.0   224.6   160.7   208.0   219.7   285.2   328.7   360.3   386.8   421.9   468.5   535.0   700.1  2600.9  8989.6  85798.4    85927
read      335.9   264.9   160.7   206.8   218.4   286.2   337.4   378.5   414.1   456.8   503.9   561.4   736.9  3181.4  9142.8  63951.4    63953
read      436.3   592.5   160.7   214.4   228.3   359.8   441.9   490.1   526.0   570.1   627.6   717.3  1904.5  7299.7 28189.0  31453.6    31595
read      344.1   299.3   160.7   211.9   223.8   294.8   340.7   372.6   400.1   436.6   488.5   565.7  1071.1  3430.7 10021.5  87949.2    87879
read      470.3   958.7   173.5   237.1   256.5   375.4   418.8   442.3   460.1   481.7   511.5   598.3  2980.7 12501.6 32079.9   7319.6     7287
read      379.2   415.8   160.7   210.8   223.1   307.1   376.0   427.7   466.3   509.9   565.7   673.5  1200.7  4714.0 16136.5  62218.4    62295
read      521.8  1278.4   173.5   242.7   264.0   383.8   427.3   451.9   468.3   492.9   531.0   666.7  4144.6 24262.0 39054.9   6525.6     6561
read      494.4   948.4   160.7   219.0   232.9   379.2   475.5   533.8   572.1   611.7   657.0   741.6  3049.2 11284.0 34458.4  22619.4    22532
read      360.5   393.7   160.7   208.7   220.8   297.2   361.3   408.6   446.5   488.3   535.6   611.6   991.1  5025.9 12868.3  60496.8    60653
read      336.6   260.3   160.7   207.0   218.8   287.7   341.7   386.4   423.7   466.4   511.2   565.5   734.4  2661.1  8840.3  59004.4    59076
read      340.2   342.1   160.7   207.4   219.2   289.0   342.9   388.1   426.1   469.6   516.7   572.1   725.2  2922.6 13463.5  60194.4    60154
read      464.6   904.7   160.7   215.4   229.2   365.1   452.5   505.1   541.2   581.9   628.0   699.7  2480.5 12883.7 32267.5  23033.6    22964
read      483.1   965.2   173.5   231.1   250.9   376.9   424.1   449.7   466.8   490.1   522.0   610.5  3222.9 10607.3 32498.9   8168.0     8172
read      491.9   758.4   160.7   219.5   233.9   381.0   470.2   530.4   575.3   625.0   684.8   810.3  2770.5 10329.0 31192.3  27691.6    27652
read      381.7   339.8   160.7   211.3   223.7   320.2   408.2   458.0   491.1   526.3   568.2   639.0   953.8  4210.3 12517.6  37491.2    37594
read      460.5   668.8   160.7   216.3   230.3   369.6   458.8   515.4   557.6   601.7   652.6   742.1  2430.3  8074.3 29572.7  24376.0    24367
read      390.4   473.7   160.7   211.9   224.3   324.9   414.7   461.0   491.8   524.6   563.0   628.3   992.8  6032.3 30135.4  33713.0    33771
read      315.4   198.1   160.7   207.2   218.7   278.8   317.9   346.3   372.2   407.4   456.2   518.9   648.0  2457.1  9623.6  85147.2    84944
read      329.7   287.4   148.8   208.1   219.6   281.8   321.5   351.8   377.9   414.5   464.8   533.0   898.7  4232.0  9367.6  85580.0    85666
read      440.0   701.6   160.7   211.5   223.5   303.3   372.7   430.4   473.8   519.6   573.3   700.9  3600.1  9621.1 14745.2  52012.2    51918
read      441.0   772.7   160.7   211.2   224.1   342.8   426.6   473.5   506.3   545.6   609.5   723.2  2316.2 11209.8 31956.8  34363.4    34406
read      458.0   676.4   160.7   215.1   229.2   372.0   455.2   507.0   551.0   606.6   670.0   768.3  2006.9  7857.4 31360.4  28628.0    28664
read      375.7   449.3   160.7   209.3   221.3   307.2   393.3   444.2   475.9   508.4   545.1   601.6   935.3  6213.2 20067.3  38257.8    38289
read      466.8   688.0   160.7   218.7   232.4   374.0   461.9   513.3   549.6   591.3   636.6   715.9  2825.7  7765.9 28732.5  20676.4    20658
read      463.2   777.5   160.7   217.2   230.2   378.8   454.3   490.8   514.4   540.9   575.3   635.5  3206.6  9667.3 31595.3  13855.8    13840
read      357.2   340.5   148.8   208.5   220.2   286.6   327.6   358.6   387.2   429.0   490.5   620.1  1582.4  4124.0  9386.6  93298.6    93419
read      310.4   281.2   160.7   205.5   215.7   273.5   309.9   334.7   355.7   385.0   428.6   494.7   640.5  3304.2 11344.5  98365.0    98284
read      328.6   239.8   160.7   207.3   219.0   284.7   330.4   366.4   398.7   441.0   492.3   552.5   726.3  2755.0  7954.8  71286.6    71313
read      352.1   252.0   160.7   209.4   221.4   299.2   375.9   430.1   465.6   500.4   537.0   586.1   718.9  2324.8 11210.7  42137.8    42089
read      342.4   233.3   160.7   206.2   217.3   289.3   356.5   410.9   447.6   484.8   523.2   571.9   720.2  3162.2  8498.0  46285.4    46458
read      435.7   605.4   160.7   213.4   227.0   360.8   443.5   492.5   528.4   574.8   635.3   729.3  1598.5  6326.4 30443.2  31003.0    30755
read      346.6   256.7   160.7   207.1   218.8   292.5   367.7   421.4   455.6   490.1   526.1   573.0   727.8  3040.7  9299.5  42758.2    42889
read      316.0   316.0   160.7   206.4   217.4   276.9   314.4   340.1   362.5   393.5   440.5   508.9   661.8  3227.1 11083.2  93440.2    93552
read      333.2   281.4   160.7   206.6   218.2   286.6   337.2   376.5   411.1   454.7   504.8   566.9   715.3  2491.8 10137.0  65637.8    65694
read      479.2   899.3   160.7   216.5   230.1   368.6   454.0   503.9   541.6   590.4   655.0   756.1  2698.8 13705.8 36251.4  29589.0    29574
read      368.3   369.4   160.7   210.5   222.8   305.2   376.0   429.9   468.2   510.1   555.8   624.0   976.6  3804.8 13795.2  51445.6    51355
read      328.2   274.5   160.7   206.4   217.5   281.4   326.8   364.6   398.5   442.4   492.7   548.4   689.8  3162.6  9967.6  67272.6    67361
read      463.7   729.8   173.5   222.1   236.7   384.3   462.1   503.3   535.7   573.2   619.0   702.1  2427.6  7263.8 31431.8  16323.8    16287
read      370.6   381.8   160.7   215.4   227.3   311.7   366.9   402.9   433.5   472.4   528.0   616.1  1284.7  4102.4 11091.3  81468.8    81508
read      327.6   259.8   160.7   208.3   220.1   287.5   331.7   362.6   388.0   421.8   468.6   535.0   683.8  3354.9 10833.9  87921.6    87619
read      315.7   222.3   160.7   206.8   218.1   280.7   320.2   347.0   369.6   398.6   440.1   504.0   650.7  2813.7  7772.6  99106.2    99068
read      352.4   285.6   160.7   209.5   221.9   297.6   361.5   411.9   450.4   491.5   534.2   588.0   744.1  3496.6  8009.6  51308.2    51267
read      469.0   880.3   173.5   224.3   240.1   389.1   455.0   488.4   509.9   536.7   572.1   636.5  2850.4  8137.5 32007.7  12003.2    11822
read      354.5   333.8   160.7   209.9   222.1   293.3   337.2   366.7   391.8   425.8   474.4   563.3  1601.7  3680.0 10853.9  97369.8    97494
read      322.9   306.6   160.7   207.2   219.0   284.1   325.0   353.0   375.4   405.9   450.4   514.2   669.2  3593.4 12405.0  97104.8    97350
read      343.6   257.8   160.7   207.7   219.6   292.8   350.8   397.9   435.6   478.2   524.1   579.1   745.8  2854.8 11167.7  55519.0    55460
read      327.9   542.9   148.8   208.1   219.7   285.3   328.3   358.9   384.6   419.3   466.7   532.7   682.5  3220.7 11774.5  85755.4    85984
read      330.7   616.0   148.8   208.9   220.6   287.8   332.9   364.9   392.1   428.4   477.3   543.0   685.3  3137.7 10538.4  82082.2    82043
read      347.8   631.9   160.7   207.8   219.7   292.8   355.2   404.2   442.0   482.1   524.9   578.2   782.0  3119.0  9642.9  52819.8    52873
read      493.6   998.2   160.7   220.2   234.3   387.4   459.9   497.2   523.8   553.9   593.0   674.9  3570.1  9434.9 36287.6  13866.8    13911
read      360.3   363.4   160.7   208.0   219.9   298.1   368.0   419.6   456.7   496.5   539.5   599.0   876.7  5166.2 11050.4  50111.2    49984
read      490.3  1087.1   173.5   226.0   243.0   373.0   427.9   456.1   474.6   498.4   531.6   603.0  3786.1 17770.0 31250.4   9287.2     9274
read      461.0   659.5   160.7   215.9   230.8   374.5   459.3   518.7   564.1   611.6   664.0   744.5  2363.7  7429.2 30649.7  27336.8    27187
read      472.5   787.8   173.5   218.3   231.8   378.9   470.0   517.4   549.6   585.6   628.7   705.6  2664.6  8928.1 31366.4  18572.8    18735
read      338.6   249.1   160.7   207.9   219.8   289.4   336.3   369.0   396.6   432.8   483.4   559.3  1163.5  2864.7  8299.3  86098.8    86505
read      314.5   287.4   160.7   205.4   215.6   274.6   312.4   338.2   360.7   391.7   437.2   505.0   681.5  3361.8 11201.3  93062.0    93039
read      334.8   278.0   160.7   208.3   219.9   287.6   335.2   370.2   400.7   442.3   494.7   561.6   773.4  3300.8  7435.0  75988.8    75999
read      403.3   412.1   160.7   214.1   226.7   338.7   432.5   479.9   510.8   544.6   587.7   671.3  1193.6  5662.8 15426.2  32403.8    32324
read      321.8   234.9   160.7   206.8   218.1   281.0   322.6   353.7   380.1   416.8   466.5   533.3   676.7  2920.1  7254.4  84116.8    84255
read      326.4   238.4   148.8   207.7   219.3   286.1   330.9   363.2   390.4   426.9   475.7   539.3   685.4  2847.0  9743.4  81548.0    81759
read      354.8   287.7   160.7   208.3   220.3   302.8   387.2   438.1   470.2   501.7   535.5   581.1   722.5  2448.2 10984.1  37303.8    37291
read      346.6   339.9   160.7   207.4   219.2   290.3   350.0   399.8   438.3   479.9   524.0   578.7   767.0  4027.8 10949.5  53810.6    53818
read      452.1   652.8   160.7   214.3   228.0   367.5   449.2   500.0   538.3   587.9   651.2   745.5  2223.9  7185.5 30484.8  30316.6    30297
read      457.8   786.8   160.7   214.8   228.3   363.5   448.3   500.2   539.5   587.3   650.2   744.5  2201.2  7738.3 31712.5  31455.2    31569
read      365.9   325.4   160.7   207.7   219.6   303.1   389.9   439.0   471.3   504.1   540.6   595.5   931.8  4004.6  8729.2  39067.8    38927
read      476.6   949.4   160.7   221.9   236.8   385.9   446.8   476.7   498.1   522.7   551.7   616.6  3355.4 15369.4 32127.9  10632.2    10652
read      358.2   311.2   160.7   209.7   221.8   292.0   333.2   362.0   387.3   424.2   481.2   601.6  1602.1  3451.4  7718.5  97725.0    98119
read      350.0   204.9   160.7   208.4   220.4   296.7   365.2   419.7   458.5   498.0   538.6   591.7   773.3  2729.0  8005.2  48221.6    48176
read      376.5   416.3   160.7   211.8   224.2   314.7   406.8   457.3   488.6   520.4   553.6   603.3   800.7  5157.2 21301.8  35117.8    34929
read      333.7   223.7   160.7   208.1   219.9   289.5   339.8   377.4   410.2   451.9   502.2   564.3   691.3  2563.5  8635.3  69616.2    69735
read      466.3   800.5   160.7   215.9   229.3   371.4   460.8   510.8   545.9   584.3   626.5   693.1  2779.9 11739.4 31512.6  20796.8    20753
read      343.4   340.9   148.8   208.4   220.5   291.7   340.6   374.5   402.7   440.5   492.7   568.8  1062.9  3893.1 10240.6  84524.0    84642
read      360.8   303.1   160.7   209.3   221.6   305.0   383.5   438.6   474.9   511.1   548.9   599.2   739.2  3106.3 11770.0  42426.8    42333
read      346.2   339.6   148.8   208.5   220.5   293.6   347.4   391.4   427.5   471.4   522.1   582.9   748.1  4082.9 11920.8  61729.4    61587
read      325.4   250.0   148.8   207.6   219.2   283.4   327.1   360.8   390.4   430.2   482.0   546.2   680.4  2785.6  8406.8  77889.0    77998
read      316.4   247.6   160.7   206.7   218.0   280.1   319.1   345.7   368.4   397.6   440.6   508.1   667.6  3167.4  8585.2  97670.4    97625
read      449.6   677.3   160.7   213.2   227.2   365.0   452.8   506.2   546.3   587.7   633.0   706.7  2278.8  7450.4 32038.5  23629.4    23781
read      349.3   286.7   160.7   208.5   220.3   292.0   346.4   391.3   428.5   473.0   525.6   594.1   972.0  3560.3  9334.7  66517.0    66723
read      459.4   794.4   160.7   214.2   227.9   364.0   449.6   503.5   544.8   593.4   652.0   740.7  2378.4  9046.8 35764.1  30919.6    31016
read      346.3   264.5   148.8   207.4   219.0   292.0   359.5   414.3   452.3   490.9   531.6   582.5   722.1  3330.7  9365.6  47455.2    47394
read      314.3   290.7   160.7   206.0   216.6   275.9   314.2   340.3   363.1   394.0   438.8   504.8   637.6  3434.6 11590.6  95293.6    95335
read      454.9  1061.1   173.5   242.3   264.8   355.6   391.3   411.2   427.7   448.4   476.8   543.8  3481.4 15946.0 32429.8   5253.8     5252
read      348.9   352.1   160.7   207.2   218.9   288.7   342.9   388.8   427.5   472.9   524.1   592.0   967.7  4054.6 10856.5  65927.4    65908
read      442.7   565.4   160.7   213.9   227.0   374.4   456.0   498.3   527.4   559.8   599.4   665.8  2393.2  7344.1 25568.4  16785.4    16889
read      362.8   318.6   160.7   207.6   219.5   301.5   383.9   438.6   474.1   510.7   550.0   610.8   861.8  3815.3 11141.0  42929.4    42912
read      314.7   299.9   160.7   206.3   217.2   277.1   314.2   339.2   360.7   390.1   433.4   499.7   654.2  3232.1 11754.4 100007.6    99898
read      451.1   629.7   160.7   213.1   227.1   367.4   454.2   505.8   546.4   592.6   645.4   727.2  2214.5  7469.7 30556.2  26337.6    26385
read      480.7   864.2   160.7   213.6   227.8   368.1   465.9   525.2   565.4   605.0   646.4   728.8  3030.4 10781.9 32008.0  22712.8    22616
read      357.2   360.2   160.7   206.7   218.6   294.6   365.8   421.1   460.1   501.0   543.7   603.0   832.4  4293.1 15257.3  50489.8    50605
read      313.3   242.8   160.7   205.8   216.2   275.3   314.1   341.3   365.7   399.7   449.4   516.0   646.9  2779.3  7280.8  89830.2    90283
read      458.4   668.4   160.7   214.9   229.2   371.6   458.5   513.8   556.4   601.7   653.0   736.2  2238.5  8078.2 29065.5  26350.4    26273
read      360.5   409.9   160.7   206.2   217.7   294.1   366.2   420.7   457.4   496.4   538.3   596.0   876.2  5445.0 15888.6  48633.2    48521
read      394.7   429.8   160.7   209.4   222.1   328.6   421.3   467.5   498.5   532.9   576.9   656.3  1232.6  4638.5 19992.4  33989.2    34058
read      328.2   302.6   160.7   206.6   218.0   283.3   327.4   361.3   391.1   431.7   485.1   548.9   690.8  3222.4  9296.2  75542.2    75648
read      462.4   791.3   160.7   214.2   227.9   372.8   459.2   507.5   542.2   580.4   623.0   688.8  2551.8 11219.5 35720.3  19348.8    19482
read      474.8   822.4   160.7   215.8   229.0   385.8   466.3   505.8   533.4   564.4   601.9   670.7  3219.2 11234.0 32380.3  15075.4    15054
read      343.0   239.1   160.7   207.9   219.8   291.6   343.3   381.9   415.3   458.8   512.3   591.7   967.7  2735.1  8408.7  75923.6    75754
read      484.5  1181.4   173.5   243.3   267.1   355.1   391.4   412.0   428.4   450.0   481.3   566.5  3846.1 19662.6 36443.3   5187.8     5187
read      489.0   920.7   160.7   216.5   230.2   379.1   469.7   517.9   549.8   584.3   625.0   696.3  3231.0 10767.5 38385.2  17633.2    17656
read      348.9   375.1   148.8   207.1   218.8   284.9   324.6   352.7   377.4   415.1   471.7   581.1  1558.4  3937.7 10164.8  96322.6    96343
read      355.6   342.8   148.8   207.1   218.9   299.2   387.2   439.4   470.5   501.7   535.9   583.2   720.1  2726.9 10984.7  36749.8    36665
read      318.1   307.4   148.8   205.5   216.0   277.0   316.9   344.8   370.2   404.8   456.1   522.9   655.8  3188.2 15610.1  85194.4    85269
read      420.8   517.6   160.7   210.5   223.4   350.9   436.3   482.1   513.3   552.5   613.6   720.2  1679.1  5048.5 24439.7  31442.2    31525
read      348.0   297.1   160.7   207.4   219.3   291.5   346.8   392.8   431.4   476.9   527.9   593.4   888.0  4041.4  9072.9  61962.2    61798
read      490.0  1060.8   160.7   219.2   232.7   383.1   450.1   484.0   507.1   536.1   573.9   645.1  3367.5 10620.7 37865.2  12303.4    12253
read      467.0   565.6   160.7   219.1   233.9   381.7   473.1   534.7   580.0   627.5   681.7   773.1  2055.6  6660.6 23079.6  25867.4    25710
read      333.8   306.7   160.7   208.3   220.2   286.5   330.4   363.4   392.8   433.1   487.5   557.1   819.8  3210.7 11860.0  79802.2    79937
read      444.7   824.0   173.5   237.0   258.2   369.9   410.8   433.3   450.9   469.8   501.8   575.2  2480.4  8566.8 37032.4   7286.6     7271
read      319.7   249.4   160.7   206.2   217.0   278.7   318.4   346.8   372.6   408.5   460.1   527.7   700.2  3128.3  8323.3  85474.2    85861
read      329.2   313.6   160.7   207.4   219.1   284.6   325.9   354.8   378.8   412.3   459.5   529.8   821.9  4038.9 11644.8  91546.4    91467
read      337.0   265.4   160.7   207.3   219.0   286.7   335.2   371.4   403.9   447.9   501.1   569.1   797.9  3499.8  7986.9  72166.2    72217
read      371.1   318.6   160.7   209.2   221.4   313.6   407.0   452.8   480.5   508.6   541.6   591.4   896.6  3341.3 14130.7  31071.2    31080
