Random waveform, supplied seed
Total number of intervals = 220 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312)
Average QPS expected = 50394
Timestamp start: 1684773764139
Timestamp end: 1684774864615

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      482.5   984.1   173.5   234.1   256.6   376.2   421.3   446.1   464.2   488.2   522.9   623.5  3525.3 11735.9 31837.8   7407.8     7434
read      343.3   296.1   160.7   207.6   219.5   290.6   342.4   383.2   418.5   462.4   512.4   577.1   928.6  3384.2  9789.7  66980.8    67201
read      318.1   275.1   160.7   205.0   215.6   278.5   318.9   346.8   371.9   405.7   457.1   522.6   660.0  2942.0 12278.7  85945.8    85927
read      336.1   208.8   160.7   207.3   219.3   291.1   343.2   383.8   418.3   462.1   510.2   570.4   730.8  2265.7  8269.7  63985.8    63953
read      439.0   548.8   160.7   211.1   225.2   362.6   447.3   498.1   536.6   583.7   643.0   740.9  1953.9  5919.4 30173.6  31368.4    31595
read      331.0   314.0   148.8   207.1   218.9   286.4   330.6   361.4   387.0   421.9   469.6   535.7   840.9  3447.0 11740.2  87787.8    87879
read      501.7  1308.4   173.5   231.6   252.0   365.7   407.4   430.3   447.6   467.3   499.7   625.9  3880.8 28970.7 37732.9   7302.6     7287
read      373.5   332.8   160.7   208.2   220.6   304.0   372.7   424.2   464.3   510.7   568.8   680.7  1162.0  3657.2 11948.8  62441.2    62295
read      450.4   866.2   173.5   235.4   258.0   362.6   400.0   421.2   435.3   455.9   483.0   551.5  3092.2  9413.9 32416.7   6535.8     6561
read      445.9   588.5   160.7   214.9   229.6   370.5   460.0   515.4   553.7   593.8   636.7   709.6  1815.5  5757.6 31010.7  22564.4    22532
read      348.7   340.5   160.7   207.3   219.2   291.1   347.2   394.0   433.2   478.6   525.5   587.0   927.5  3960.7 14946.5  60549.2    60653
read      341.6   290.9   160.7   207.7   219.7   291.5   345.7   390.7   428.1   471.5   518.6   574.9   729.4  2972.6 11476.9  59037.8    59076
read      342.9   357.6   160.7   207.4   219.3   290.1   343.5   386.6   423.1   466.8   514.5   570.7   741.0  4095.9 13232.2  59877.0    60154
read      438.8   565.3   160.7   215.1   228.5   364.2   450.3   499.8   535.3   574.9   620.1   686.7  2137.7  6576.7 17342.2  23058.4    22964
read      488.6  1045.3   173.5   228.4   247.6   370.7   417.3   441.5   458.8   479.0   509.1   588.9  4014.7 13991.9 32238.0   8138.6     8172
read      468.4   605.6   160.7   214.8   229.7   380.2   468.2   528.3   572.6   621.4   678.2   778.9  2134.7  7629.3 21703.4  27581.0    27652
read      378.2   428.5   160.7   209.8   222.3   314.9   401.6   452.4   485.6   519.2   555.5   617.6   921.8  5064.8 13558.4  37512.6    37594
read      485.0   874.2   160.7   215.4   230.0   374.3   463.7   521.6   561.3   602.9   651.6   740.7  3049.5 11515.7 31968.2  24308.4    24367
read      411.9   520.4   160.7   211.3   224.2   338.0   428.6   475.8   506.9   540.7   587.0   693.8  1513.4  5755.7 30540.7  33759.8    33771
read      322.0   248.4   160.7   206.9   218.7   283.0   324.2   354.3   379.6   414.7   463.8   530.4   674.8  3063.0  9430.1  84721.0    84944
read      319.1   252.6   160.7   206.5   217.9   282.4   323.9   353.0   377.0   411.2   460.3   525.7   651.3  2370.2  9598.3  85720.8    85666
read      344.9   257.1   160.7   207.5   219.5   293.6   355.7   403.7   442.2   484.6   528.3   580.1   724.9  2887.2  9631.1  51825.8    51918
read      399.1   405.6   160.7   209.8   222.7   329.9   419.1   467.1   498.2   531.9   574.3   653.7  1559.4  5542.7 14258.0  34339.0    34406
read      472.4   804.4   160.7   213.9   228.8   373.0   458.0   515.2   559.7   607.2   661.9   748.0  2812.3 10070.0 34860.9  28611.8    28664
read      370.4   449.3   160.7   207.3   219.4   307.3   393.5   443.7   475.7   509.0   545.2   599.8   888.3  4369.5 19969.8  38078.8    38289
read      451.8   677.8   160.7   215.2   229.1   371.2   457.3   507.6   543.9   582.4   627.0   703.5  2321.6  5986.4 31515.1  20566.2    20658
read      472.1   941.1   173.5   215.4   228.8   378.4   452.6   489.4   513.7   541.7   577.9   639.1  2817.7 14232.1 37311.0  13780.0    13840
read      325.3   262.5   160.7   207.7   219.5   284.4   325.9   354.8   378.5   411.1   458.4   528.8   791.3  2870.1  9199.0  93538.2    93419
read      317.2   300.7   148.8   206.1   217.2   281.0   319.8   345.5   367.3   395.8   436.9   501.7   639.1  3280.9 10083.1  98293.0    98284
read      330.3   203.4   148.8   207.2   219.2   286.8   333.9   370.0   402.1   446.5   500.1   562.6   720.4  2461.4  7414.4  71310.2    71313
read      354.1   269.2   160.7   207.9   220.2   300.3   378.0   431.3   466.6   502.1   538.8   587.9   738.7  3056.5 12429.2  42069.2    42089
read      342.9   232.7   148.8   206.3   217.8   290.7   357.5   411.2   449.4   487.9   527.6   575.8   706.6  2386.5  6972.9  46459.0    46458
read      432.9   464.8   160.7   212.0   225.7   364.8   447.6   496.6   533.9   581.0   643.1   740.7  1855.3  5352.4 13769.1  30787.2    30755
read      370.9   433.0   160.7   208.0   220.3   302.3   380.3   433.5   469.6   506.4   545.0   601.3   988.9  5802.6 12691.4  42692.4    42889
read      316.7   226.2   160.7   206.6   218.1   281.0   320.0   346.8   370.3   400.9   446.5   512.9   667.8  3084.5  7999.4  93448.4    93552
read      345.4   336.3   160.7   208.2   220.3   293.5   346.8   387.9   422.0   464.9   515.1   575.3   779.3  4458.7 11977.6  65457.8    65694
read      440.6   562.0   160.7   214.5   227.6   361.6   448.9   496.8   531.9   575.0   636.2   747.8  1981.1  6849.0 27954.4  29748.6    29574
read      367.7   510.9   148.8   207.9   220.0   297.3   363.7   415.7   456.0   497.6   541.5   599.7  1047.0  5964.6 28519.8  51442.0    51355
read      353.5   296.7   148.8   210.7   223.3   306.2   363.4   400.7   432.2   471.3   519.6   583.1   814.0  3772.2 10626.9  67264.6    67361
read      461.9   744.3   160.7   219.9   233.9   383.9   463.7   507.5   537.7   571.9   614.5   689.6  2420.0  7837.6 32326.2  16301.0    16287
read      338.2   364.1   148.8   207.1   219.1   288.2   335.6   368.6   396.3   432.8   482.5   547.6  1026.2  3458.6 14352.6  81365.2    81508
read      314.7   227.2   160.7   205.1   215.5   277.3   317.0   344.2   368.3   401.2   450.3   514.8   641.1  3007.0  8715.2  87845.2    87619
read      312.6   236.5   148.8   205.7   216.6   278.5   316.6   342.0   363.5   392.0   433.5   499.1   631.3  2993.5  7713.7  98936.2    99068
read      345.8   297.7   148.8   207.4   219.4   294.1   356.2   405.7   444.8   485.8   528.5   580.3   733.4  2755.7  9871.7  51020.8    51267
