Random waveform, supplied seed
Total number of intervals = 350 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842)
Average QPS expected = 50036
Timestamp start: 1684939887598
Timestamp end: 1684940848098

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      440.8   814.2   160.7   196.5   207.9   326.4   412.5   458.3   492.8   544.4   650.9   818.3  2600.8 10874.2 32110.1  28808.4    28664
read      391.4   607.1   160.7   200.1   210.9   303.5   379.2   426.7   459.4   496.7   548.0   744.3  1354.0  6821.0 30705.6  38430.5    38289
read      433.8   635.0   160.7   202.3   213.9   362.2   439.4   494.7   540.9   589.8   646.4   741.5  1538.4  5697.6 31767.0  20987.3    20658
read      489.8  1049.0   160.7   203.5   216.7   369.1   450.6   499.3   530.2   563.8   606.2   698.1  3390.0  9419.8 38146.1  13791.3    13840
read      369.2   291.0   160.7   205.5   218.7   314.2   366.1   396.7   421.4   453.3   500.4   602.3  1653.4  3426.8  6404.3  93500.0    93419
read      333.7   244.7   160.7   203.7   215.6   303.1   349.2   374.8   394.9   419.4   453.5   509.2   707.6  3375.4  7528.4  98232.7    98284
read      340.4   247.5   160.7   202.9   214.0   305.1   357.3   387.5   410.6   440.5   482.0   544.0   812.8  3317.9 10472.6  71184.7    71313
read      361.4   231.0   160.7   202.7   214.0   320.6   387.7   426.9   456.4   491.0   535.1   606.3   952.2  3169.2  7746.5  42199.6    42089
read      366.9   606.4   160.7   202.3   213.4   306.0   367.6   406.0   436.9   473.0   516.9   579.8  1036.9  9086.2 30540.5  46413.8    46458
read      396.3   607.5   160.7   199.3   210.3   312.1   401.1   444.7   472.9   506.2   552.1   698.6  1519.2  6973.6 31949.4  30660.7    30755
read      344.9   311.9   160.7   201.4   211.9   295.5   360.5   404.8   438.0   473.8   513.0   565.9   800.0  4145.7  8753.0  42918.5    42889
read      362.0   461.6   160.7   208.2   222.0   317.9   369.0   398.5   422.1   452.2   494.1   561.9   797.3  6470.4 15903.8  93120.0    93552
read      344.5   357.4   160.7   205.3   217.4   303.6   357.4   390.7   417.7   452.4   497.4   560.3   748.3  3661.7 10201.3  65774.5    65694
read      404.1   460.8   160.7   203.1   214.1   327.0   418.0   463.2   494.1   529.9   582.2   726.8  1793.7  5918.6 10927.9  29735.3    29574
read      347.1   372.1   160.7   202.9   213.5   298.9   355.9   394.9   426.9   464.3   508.4   569.3   880.0  3885.1 15912.2  51593.8    51355
read      343.4   342.8   160.7   203.4   214.6   302.3   354.3   385.1   408.6   440.2   484.2   548.7   857.4  3859.7 10068.2  67430.2    67361
read      431.0   632.1   160.7   202.8   214.5   363.4   430.7   473.6   508.3   546.8   593.5   674.9  1989.1  8087.1 31119.4  16358.5    16287
read      356.4   367.5   160.7   203.8   215.7   302.8   352.3   381.5   404.0   436.0   483.9   569.6  1485.2  4263.1  9738.8  81287.3    81508
read      333.0   302.0   160.7   201.4   212.4   298.8   345.4   372.0   393.1   419.5   456.9   518.9   750.2  3585.3  8625.1  87325.5    87619
read      341.4   290.4   160.7   203.5   215.7   307.9   356.5   384.3   404.1   431.7   468.2   534.2   762.0  3426.9 10643.7  99036.4    99068
