#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      269.7   207.9   148.8   191.2   200.3   250.2   277.1   294.7   309.0   325.7   347.7   380.9   458.0  1941.0  8604.0  30006.1    30000  1683790951975  1683790962180
read      274.5   212.6   148.8   190.7   199.9   254.1   284.1   301.8   315.7   332.8   354.0   384.8   458.6  2742.3  8859.3  30019.3    30005  1683790963687  1683790973820
read      270.8   220.5   148.8   190.4   199.4   251.0   279.1   296.4   310.6   326.9   348.2   380.2   460.0  2315.4 11414.3  29995.2    30010  1683790975333  1683790985439
read      272.8   191.3   148.8   191.1   200.5   252.6   281.7   300.0   315.0   333.7   357.6   391.4   464.8  1901.3  9623.3  29924.2    30015  1683790986947  1683790997055
read      277.8   192.8   148.8   191.7   202.0   259.2   289.3   307.7   320.7   338.7   360.8   392.9   467.3  2195.6  8607.4  30089.7    30020  1683790998564  1683791008678
read      272.8   208.4   148.8   190.1   198.8   252.1   281.3   299.2   314.5   333.1   356.2   388.1   461.7  2594.5  9313.7  30023.0    30025  1683791010186  1683791020293
read      272.6   208.4   148.8   189.4   198.2   251.4   280.8   298.9   314.3   333.1   357.3   390.8   463.1  2585.5  8754.1  30112.0    30030  1683791021803  1683791031912
read      271.5   218.4   148.8   190.8   199.7   250.2   278.0   296.0   311.0   328.8   352.1   386.6   468.0  2190.6 10453.9  30040.6    30035  1683791033420  1683791043541
read      268.3   224.9   148.8   189.0   197.2   247.9   274.8   292.9   307.3   324.6   347.5   382.3   456.5  2061.9 10816.5  30191.1    30040  1683791045051  1683791055155
read      270.6   188.1   148.8   191.7   200.8   250.8   278.9   296.5   311.6   329.4   352.5   385.3   456.6  1979.7  8464.0  30014.7    30045  1683791056662  1683791066772
read      276.3   206.0   148.8   191.0   200.3   256.5   287.5   306.0   319.5   337.9   360.5   392.2   465.3  2086.6  9776.4  30020.0    30050  1683791068279  1683791078383
read      273.3   199.3   148.8   190.9   200.4   253.3   282.5   300.4   315.2   333.2   355.9   388.6   463.2  2185.3  8628.9  30188.5    30055  1683791079889  1683791090008
read      271.7   211.9   148.8   189.9   198.8   251.6   280.3   297.6   312.7   330.5   353.7   387.2   460.0  2326.5  9273.1  30075.3    30060  1683791091517  1683791101622
read      274.5   232.9   148.8   189.9   198.8   253.1   283.6   302.0   316.4   334.5   356.9   389.0   466.3  2298.2 11198.1  30013.0    30065  1683791103131  1683791113243
read      270.9   207.1   148.8   190.9   200.0   250.1   277.5   295.4   310.2   327.9   351.1   384.5   459.4  2433.6  8789.5  30021.7    30070  1683791114750  1683791124861
read      273.7   194.8   148.8   190.2   199.2   254.5   284.8   303.0   316.9   334.5   356.4   388.0   458.4  2375.7  8786.6  30101.0    30075  1683791126370  1683791136482
read      267.7   182.7   148.8   190.5   199.2   248.8   274.9   292.6   306.4   322.5   344.6   374.8   452.2  2003.3  8512.3  30111.6    30080  1683791137991  1683791148098
read      275.6   223.0   148.8   190.0   199.4   254.8   285.0   303.4   317.5   335.7   358.7   392.1   467.5  2649.1  8715.5  29953.4    30085  1683791149609  1683791159724
read      277.4   204.9   148.8   190.5   200.4   256.2   287.2   306.4   320.5   339.9   363.5   396.0   470.7  2199.3  9101.8  30113.9    30090  1683791161234  1683791171344
read      279.3   233.0   148.8   191.5   201.9   258.4   289.4   308.1   321.2   339.2   361.4   393.6   471.1  3186.2 10879.9  30064.8    30095  1683791172851  1683791182958
read      271.0   191.6   148.8   190.6   199.8   250.9   279.3   297.3   312.4   330.1   353.1   386.7   461.4  2249.8  8701.2  30147.2    30100  1683791184465  1683791194574
read      273.0   177.5   148.8   191.7   201.9   253.6   282.2   300.0   314.7   332.8   355.9   389.4   466.9  1956.4  8446.9  30018.9    30105  1683791196085  1683791206194
read      270.5   193.4   148.8   190.0   198.5   250.0   279.1   297.2   312.4   330.3   353.3   385.3   458.2  2250.6  8547.3  30091.1    30110  1683791207701  1683791217804
read      268.3   174.0   148.8   190.4   198.7   248.5   275.8   294.1   308.9   326.9   351.2   385.5   457.8  2010.7  8014.6  30132.6    30115  1683791219311  1683791229420
read      275.5   221.0   148.8   190.5   199.8   254.5   284.5   302.4   316.4   334.3   356.9   390.0   467.1  2915.0  9469.9  30201.4    30120  1683791230931  1683791241041
read      270.1   218.1   148.8   189.5   197.9   248.8   276.4   294.8   309.5   326.8   350.0   384.8   461.6  2349.7  8786.0  30105.7    30125  1683791242550  1683791252661
